,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
1186,POINT Z (153.536375 -27.43943899922768 0),2181,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1187,POINT Z (153.5366740000001 -27.43962499922772 0),2182,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1188,POINT Z (153.5365600000001 -27.43963999922768 0),2183,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1189,POINT Z (153.5371970000001 -27.43983399922771 0),2184,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1190,POINT Z (153.5363810000001 -27.43984299922769 0),2185,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1191,POINT Z (153.5373790000001 -27.4397939992277 0),2186,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1192,POINT Z (153.5362090000001 -27.43989399922773 0),2187,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1193,POINT Z (153.5361280000001 -27.44036099922767 0),2188,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1194,POINT Z (153.5363090000001 -27.43966199922769 0),2189,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1195,POINT Z (153.5363910000001 -27.43978299922772 0),2190,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1196,POINT Z (153.5405320000001 -27.43684899922774 0),2191,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1197,POINT Z (153.540286 -27.43820999922775 0),2192,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1198,POINT Z (153.5402680000001 -27.43864899922771 0),2193,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1199,POINT Z (153.540196 -27.43878399922771 0),2194,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1200,POINT Z (153.540335 -27.43908899922772 0),2195,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1201,POINT Z (153.5403230000001 -27.43915799922772 0),2196,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1202,POINT Z (153.5405000000001 -27.43919499922773 0),2197,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1203,POINT Z (153.5404800000001 -27.43921399922769 0),2198,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1204,POINT Z (153.5389200000001 -27.43661999922777 0),2199,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1205,POINT Z (153.5391440000001 -27.43649799922779 0),2200,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1206,POINT Z (153.5355950000001 -27.44020399922767 0),2201,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1207,POINT Z (153.5350480000001 -27.4405119992277 0),2202,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1208,POINT Z (153.534927 -27.44046499922769 0),2203,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1209,POINT Z (153.5309870000001 -27.44751499922755 0),2204,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1210,POINT Z (153.531775 -27.44705699922758 0),2205,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1211,POINT Z (153.531599 -27.44698899922759 0),2206,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1212,POINT Z (153.5314540000001 -27.44698299922754 0),2207,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1213,POINT Z (153.5309440000001 -27.44813899922756 0),2208,Treatment,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1214,POINT Z (153.5310310000001 -27.44790499922752 0),2209,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1215,POINT Z (153.531864 -27.44897299922753 0),2210,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1216,POINT Z (153.5309380000001 -27.44851499922751 0),2211,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1217,POINT Z (153.5351710000001 -27.44089499922767 0),2212,Survey,29/04/2019,Bitou bush,,2018 - 2019,29/04/2019,Jan19_Jun19
1218,POINT Z (153.531015 -27.44735499922755 0),2213,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1219,POINT Z (153.530873 -27.44884499922752 0),2214,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1220,POINT Z (153.5310480000001 -27.44853599922751 0),2215,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1221,POINT Z (153.5297640000001 -27.44861199922754 0),2216,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1222,POINT Z (153.529703 -27.44859299922754 0),2217,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1223,POINT Z (153.5295980000001 -27.44855899922751 0),2218,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1224,POINT Z (153.5297800000001 -27.44859699922753 0),2219,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1225,POINT Z (153.5295080000001 -27.44840699922755 0),2220,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1226,POINT Z (153.5295430000001 -27.44868499922754 0),2221,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1227,POINT Z (153.5317540000001 -27.44846299922753 0),2222,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1228,POINT Z (153.5307590000001 -27.4495229992275 0),2223,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1229,POINT Z (153.5295470000001 -27.4490989992275 0),2224,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1230,POINT Z (153.5297220000001 -27.44898599922751 0),2225,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1231,POINT Z (153.528859 -27.4498549992275 0),2226,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1232,POINT Z (153.5296030000001 -27.44951899922752 0),2227,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1233,POINT Z (153.5304910000001 -27.44917399922754 0),2228,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1234,POINT Z (153.530299 -27.44926199922755 0),2229,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1235,POINT Z (153.529843 -27.44898299922751 0),2230,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1236,POINT Z (153.529704 -27.44893299922752 0),2231,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1237,POINT Z (153.529436 -27.44961599922748 0),2232,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1238,POINT Z (153.5293620000001 -27.44965199922752 0),2233,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1239,POINT Z (153.530338 -27.44995299922749 0),2234,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1240,POINT Z (153.531829 -27.45059099922751 0),2235,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1241,POINT Z (153.52985 -27.4505769992275 0),2236,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1242,POINT Z (153.530512 -27.44975099922748 0),2237,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1243,POINT Z (153.5296320000001 -27.4506169992275 0),2238,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1244,POINT Z (153.5293840000001 -27.4504379992275 0),2239,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1245,POINT Z (153.529175 -27.4503289992275 0),2240,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1246,POINT Z (153.5295600000001 -27.44898299922751 0),2241,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1247,POINT Z (153.5295500000001 -27.44866999922751 0),2242,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1248,POINT Z (153.5293180000001 -27.44929799922751 0),2243,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1249,POINT Z (153.5294220000001 -27.44938599922752 0),2244,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1250,POINT Z (153.5297630000001 -27.44969599922752 0),2245,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1251,POINT Z (153.529794 -27.44955699922754 0),2246,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1252,POINT Z (153.5297260000001 -27.45018799922751 0),2247,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1253,POINT Z (153.5295150000001 -27.45013099922748 0),2248,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1254,POINT Z (153.529212 -27.44973799922753 0),2249,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1255,POINT Z (153.5289050000001 -27.4498989992275 0),2250,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1256,POINT Z (153.5335170000001 -27.44958599922752 0),2251,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1257,POINT Z (153.5338770000001 -27.44861699922753 0),2252,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1258,POINT Z (153.531063 -27.45218199922745 0),2253,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1259,POINT Z (153.5291040000001 -27.45220299922745 0),2254,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1260,POINT Z (153.5184670000001 -27.47955399922693 0),2255,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1261,POINT Z (153.5178370000001 -27.48059099922692 0),2256,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1262,POINT Z (153.5180180000001 -27.48079299922692 0),2257,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1263,POINT Z (153.5184240000001 -27.48121599922693 0),2258,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1264,POINT Z (153.5291980000001 -27.45004999922752 0),2259,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1265,POINT Z (153.5295020000001 -27.45022099922749 0),2260,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1266,POINT Z (153.5290510000001 -27.45071599922749 0),2261,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1267,POINT Z (153.529036 -27.4507969992275 0),2262,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1268,POINT Z (153.518543 -27.47950999922694 0),2263,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1269,POINT Z (153.5187460000001 -27.47943699922696 0),2264,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1270,POINT Z (153.5185540000001 -27.47931999922696 0),2265,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1271,POINT Z (153.5181060000001 -27.48197899922692 0),2266,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1272,POINT Z (153.5184720000001 -27.48118899922694 0),2267,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1273,POINT Z (153.5107400000001 -27.49865499922657 0),2268,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1274,POINT Z (153.5109420000001 -27.49888999922659 0),2269,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1275,POINT Z (153.5106030000001 -27.49912799922654 0),2270,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1276,POINT Z (153.510618 -27.49905299922657 0),2271,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1277,POINT Z (153.528983 -27.45144099922746 0),2272,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1278,POINT Z (153.5178760000001 -27.4818739992269 0),2273,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1279,POINT Z (153.5179690000001 -27.48183099922689 0),2274,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1280,POINT Z (153.511432 -27.4965369992266 0),2275,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1281,POINT Z (153.511295 -27.49654199922666 0),2276,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1282,POINT Z (153.5110840000001 -27.49632499922663 0),2277,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1283,POINT Z (153.5104080000001 -27.4970089992266 0),2278,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1284,POINT Z (153.5102420000001 -27.49737899922663 0),2279,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1285,POINT Z (153.5092920000001 -27.50265799922649 0),2280,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1286,POINT Z (153.509227 -27.50260599922652 0),2281,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1287,POINT Z (153.5093240000001 -27.50260599922652 0),2282,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1288,POINT Z (153.510078 -27.50028899922655 0),2283,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1289,POINT Z (153.509898 -27.50011899922658 0),2284,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1290,POINT Z (153.511114 -27.49893999922656 0),2285,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1291,POINT Z (153.5101490000001 -27.50092199922653 0),2286,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1292,POINT Z (153.5092080000001 -27.50086499922656 0),2287,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1293,POINT Z (153.4954230000001 -27.53367799922593 0),2288,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1294,POINT Z (153.4953290000001 -27.53508599922592 0),2289,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1295,POINT Z (153.4951850000001 -27.53476699922588 0),2290,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1296,POINT Z (153.4947970000001 -27.53473599922591 0),2291,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1297,POINT Z (153.4947520000001 -27.5351349992259 0),2292,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1298,POINT Z (153.4946450000001 -27.53638199922587 0),2293,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1299,POINT Z (153.4946870000001 -27.53986199922582 0),2294,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1300,POINT Z (153.4942000000001 -27.53810799922585 0),2295,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1301,POINT Z (153.494314 -27.54210699922574 0),2296,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1302,POINT Z (153.4941450000001 -27.54090599922578 0),2297,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1303,POINT Z (153.4942570000001 -27.5410349992258 0),2298,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1304,POINT Z (153.494447 -27.54104399922578 0),2299,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1305,POINT Z (153.4944210000001 -27.54208299922575 0),2300,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1306,POINT Z (153.493683 -27.54348899922575 0),2301,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1307,POINT Z (153.4860620000001 -27.53638799922586 0),2302,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1308,POINT Z (153.486216 -27.53625799922591 0),2303,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1309,POINT Z (153.486352 -27.53650299922588 0),2304,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1310,POINT Z (153.4861800000001 -27.53622899922586 0),2305,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1311,POINT Z (153.486254 -27.53592599922589 0),2306,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1312,POINT Z (153.4858360000001 -27.5359639992259 0),2307,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1313,POINT Z (153.4858710000001 -27.53617999922587 0),2308,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1314,POINT Z (153.4860840000001 -27.53648199922589 0),2309,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1315,POINT Z (153.4856600000001 -27.53745799922586 0),2310,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1316,POINT Z (153.4858720000001 -27.53747399922587 0),2311,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1317,POINT Z (153.4859070000001 -27.53640299922587 0),2312,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1318,POINT Z (153.4861920000001 -27.53777399922584 0),2313,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1319,POINT Z (153.486081 -27.53756099922589 0),2314,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1320,POINT Z (153.486294 -27.53912199922583 0),2315,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1321,POINT Z (153.4861090000001 -27.53894799922582 0),2316,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1322,POINT Z (153.48639 -27.53889999922582 0),2317,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1323,POINT Z (153.4863240000001 -27.53891099922579 0),2318,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1324,POINT Z (153.4903720000001 -27.54587999922569 0),2319,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1325,POINT Z (153.4848800000001 -27.54355999922575 0),2320,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1326,POINT Z (153.485031 -27.54343199922574 0),2321,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1327,POINT Z (153.4850990000001 -27.54292999922576 0),2322,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1328,POINT Z (153.4851400000001 -27.54280099922574 0),2323,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1329,POINT Z (153.4858620000001 -27.54046099922578 0),2324,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1330,POINT Z (153.48607 -27.53988899922582 0),2325,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1331,POINT Z (153.48648 -27.53913199922581 0),2326,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1332,POINT Z (153.4864630000001 -27.53909299922585 0),2327,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1333,POINT Z (153.4916710000001 -27.54684699922567 0),2328,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1334,POINT Z (153.493601 -27.54352199922572 0),2329,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1335,POINT Z (153.4913700000001 -27.54419399922572 0),2330,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1336,POINT Z (153.4879340000001 -27.55610299922551 0),2331,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1337,POINT Z (153.487111 -27.53819299922587 0),2332,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1338,POINT Z (153.487375 -27.53724499922583 0),2333,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1339,POINT Z (153.490359 -27.53244799922593 0),2334,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1340,POINT Z (153.4918030000001 -27.52788399922606 0),2335,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1341,POINT Z (153.4920970000001 -27.5467239992257 0),2336,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1342,POINT Z (153.4918180000001 -27.54676999922571 0),2337,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1343,POINT Z (153.4899730000001 -27.54744399922565 0),2338,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1344,POINT Z (153.4905930000001 -27.54836299922563 0),2339,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1345,POINT Z (153.4866010000001 -27.53658199922587 0),2340,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1346,POINT Z (153.4865590000001 -27.53631199922587 0),2341,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1347,POINT Z (153.4847390000001 -27.53622099922588 0),2342,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1348,POINT Z (153.485677 -27.53664599922587 0),2343,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1349,POINT Z (153.4861320000001 -27.53714299922586 0),2344,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1350,POINT Z (153.486025 -27.53705299922587 0),2345,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1351,POINT Z (153.486306 -27.53765999922586 0),2346,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1352,POINT Z (153.4864540000001 -27.53763799922585 0),2347,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1353,POINT Z (153.4863320000001 -27.53748899922584 0),2348,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1354,POINT Z (153.4864930000001 -27.53879399922581 0),2349,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1355,POINT Z (153.486573 -27.53881099922583 0),2350,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1356,POINT Z (153.486169 -27.54014799922578 0),2351,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1357,POINT Z (153.4860470000001 -27.5402739992258 0),2352,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1358,POINT Z (153.4859630000001 -27.54047999922579 0),2353,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1359,POINT Z (153.485983 -27.54068499922577 0),2354,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1360,POINT Z (153.485675 -27.54107099922577 0),2355,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1361,POINT Z (153.4855540000001 -27.54111099922577 0),2356,Survey,30/04/2019,Bitou bush,,2018 - 2019,30/04/2019,Jan19_Jun19
1362,POINT Z (153.485256 -27.54259699922575 0),2357,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1363,POINT Z (153.4861920000001 -27.54013599922581 0),2358,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1364,POINT Z (153.486213 -27.54007499922579 0),2359,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1365,POINT Z (153.4862240000001 -27.53993999922579 0),2360,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1366,POINT Z (153.4862740000001 -27.53988299922583 0),2361,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1367,POINT Z (153.4863110000001 -27.53982099922581 0),2362,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1368,POINT Z (153.4863190000001 -27.53978899922579 0),2363,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1369,POINT Z (153.4872570000001 -27.53615099922589 0),2364,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1370,POINT Z (153.490087 -27.54945099922566 0),2365,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1371,POINT Z (153.4898410000001 -27.55387499922553 0),2366,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1372,POINT Z (153.4896470000001 -27.55397399922557 0),2367,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
1373,POINT Z (153.500709 -27.5201829992262 0),2368,Survey,1/05/2019,Bitou bush,,2018 - 2019,1/05/2019,Jan19_Jun19
