,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
339,POINT Z (153.4254480000001 -27.74008799922206 0),339,Treatment,11/12/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
340,POINT Z (153.4187000000001 -27.7377249992221 0),340,Treatment,11/12/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
341,POINT Z (153.4180230000001 -27.93594799921842 0),341,Treatment,13/12/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
342,POINT Z (153.516882 -27.48474699922681 0),342,Treatment,5/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
343,POINT Z (153.511753 -27.49511499922664 0),343,Treatment,5/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
344,POINT Z (153.4877200000001 -27.55992499922538 0),344,Treatment,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
345,POINT Z (153.485978 -27.56260999922537 0),345,Treatment,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
346,POINT Z (153.4840200000001 -27.56999999922522 0),346,Treatment,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
347,POINT Z (153.4821330000001 -27.57338299922514 0),347,Treatment,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
348,POINT Z (153.4572720000001 -27.66876499922339 0),348,Treatment,6/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
349,POINT Z (153.4562520000001 -27.68242699922308 0),349,Treatment,6/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
350,POINT Z (153.451355 -27.71244999922255 0),350,Treatment,7/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
351,POINT Z (153.460413 -27.39261299922856 0),351,Treatment,8/11/2012,Bitou bush,,2012 - 2013,<Null>,July12_Dec12
352,POINT Z (153.529573 -27.4495009992275 0),352,Infestation,25/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
353,POINT Z (153.5009130000001 -27.5188679992262 0),353,Infestation,26/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
354,POINT Z (153.4944830000001 -27.53794699922581 0),354,Infestation,27/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
355,POINT Z (153.495848 -27.53312399922591 0),355,Infestation,27/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
356,POINT Z (153.494944 -27.54047899922578 0),356,Infestation,27/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
357,POINT Z (153.5037070000001 -27.51642399922621 0),357,Infestation,26/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
358,POINT Z (153.493692 -27.5433979992257 0),358,Infestation,27/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
359,POINT Z (153.518548 -27.47926899922692 0),359,Infestation,31/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
360,POINT Z (153.5403240000001 -27.43908199922768 0),360,Infestation,25/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
361,POINT Z (153.5296960000001 -27.4484949992275 0),361,Infestation,25/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
362,POINT Z (153.529038 -27.45062699922748 0),362,Infestation,15/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
363,POINT Z (153.451367 -28.08621899921561 0),363,Infestation,22/01/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
364,POINT Z (153.4865580000001 -27.53632999922583 0),364,Infestation,28/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
365,POINT Z (153.413579 -27.7652819992216 0),365,Infestation,22/12/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
366,POINT Z (153.44694 -27.39210299922855 0),366,Infestation,24/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
367,POINT Z (153.494774 -27.53470099922587 0),367,Infestation,27/05/2009,Bitou bush,,<2012 - 2013,<Null>,Jan09_Jun09
368,POINT Z (153.518452 -27.47953299922695 0),368,Infestation,16/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
369,POINT Z (153.496111 -27.53729499922583 0),369,Infestation,17/05/2011,Bitou bush,,<2012 - 2013,<Null>,Jan11_Jun11
370,POINT Z (153.4830920000001 -27.56347299922534 0),370,Infestation,17/11/2010,Bitou bush,,<2012 - 2013,<Null>,July10_Dec10
371,POINT Z (153.52979 -27.44852199922749 0),371,Infestation,25/05/2010,Bitou bush,,<2012 - 2013,<Null>,Jan10_Jun10
